EnergyUnit,J,kJ,MJ,GJ,TJ,PJ,EJ,cal,kcal,Mcal,Gcal,toe,kgoe,ktoe,Mtoe,Gtoe,Btu,kBtu,Mbtu,Gbtu,kWh,MWh,GWh,TWh
J,1.000000000000000E+00,1.000000000000000E-03,1.000000000000000E-06,1.000000000000000E-09,1.000000000000000E-12,1.000000000000000E-15,1.000000000000000E-18,2.388458966274960E-01,2.388458966274960E-04,2.388458966274960E-07,2.388458966274960E-10,2.388458966274960E-11,2.388458966274960E-08,2.388458966274960E-14,2.388458966274960E-17,2.388458966274960E-20,9.478133944988910E-04,9.478133944988910E-07,9.478133944988910E-10,9.478133944988910E-13,2.777777777777780E-07,2.777777777777780E-10,2.777777777777780E-13,2.777777777777780E-16
kJ,1.000000000000000E+03,1.000000000000000E+00,1.000000000000000E-03,1.000000000000000E-06,1.000000000000000E-09,1.000000000000000E-12,1.000000000000000E-15,2.388458966274960E+02,2.388458966274960E-01,2.388458966274960E-04,2.388458966274960E-07,2.388458966274960E-08,2.388458966274960E-05,2.388458966274960E-11,2.388458966274960E-14,2.388458966274960E-17,9.478133944988910E-01,9.478133944988910E-04,9.478133944988910E-07,9.478133944988910E-10,2.777777777777780E-04,2.777777777777780E-07,2.777777777777780E-10,2.777777777777780E-13
MJ,1.000000000000000E+06,1.000000000000000E+03,1.000000000000000E+00,1.000000000000000E-03,1.000000000000000E-06,1.000000000000000E-09,1.000000000000000E-12,2.388458966274960E+05,2.388458966274960E+02,2.388458966274960E-01,2.388458966274960E-04,2.388458966274960E-05,2.388458966274960E-02,2.388458966274960E-08,2.388458966274960E-11,2.388458966274960E-14,9.478133944988910E+02,9.478133944988910E-01,9.478133944988910E-04,9.478133944988910E-07,2.777777777777780E-01,2.777777777777780E-04,2.777777777777780E-07,2.777777777777780E-10
GJ,1.000000000000000E+09,1.000000000000000E+06,1.000000000000000E+03,1.000000000000000E+00,1.000000000000000E-03,1.000000000000000E-06,1.000000000000000E-09,2.388458966274960E+08,2.388458966274960E+05,2.388458966274960E+02,2.388458966274960E-01,2.388458966274960E-02,2.388458966274960E+01,2.388458966274960E-05,2.388458966274960E-08,2.388458966274960E-11,9.478133944988910E+05,9.478133944988910E+02,9.478133944988910E-01,9.478133944988910E-04,2.777777777777780E+02,2.777777777777780E-01,2.777777777777780E-04,2.777777777777780E-07
TJ,1.000000000000000E+12,1.000000000000000E+09,1.000000000000000E+06,1.000000000000000E+03,1.000000000000000E+00,1.000000000000000E-03,1.000000000000000E-06,2.388458966274960E+11,2.388458966274960E+08,2.388458966274960E+05,2.388458966274960E+02,2.388458966274960E+01,2.388458966274960E+04,2.388458966274960E-02,2.388458966274960E-05,2.388458966274960E-08,9.478133944988910E+08,9.478133944988910E+05,9.478133944988910E+02,9.478133944988910E-01,2.777777777777780E+05,2.777777777777780E+02,2.777777777777780E-01,2.777777777777780E-04
PJ,1.000000000000000E+15,1.000000000000000E+12,1.000000000000000E+09,1.000000000000000E+06,1.000000000000000E+03,1.000000000000000E+00,1.000000000000000E-03,2.388458966274960E+14,2.388458966274960E+11,2.388458966274960E+08,2.388458966274960E+05,2.388458966274960E+04,2.388458966274960E+07,2.388458966274960E+01,2.388458966274960E-02,2.388458966274960E-05,9.478133944988910E+11,9.478133944988910E+08,9.478133944988910E+05,9.478133944988910E+02,2.777777777777780E+08,2.777777777777780E+05,2.777777777777780E+02,2.777777777777780E-01
EJ,1.000000000000000E+18,1.000000000000000E+15,1.000000000000000E+12,1.000000000000000E+09,1.000000000000000E+06,1.000000000000000E+03,1.000000000000000E+00,2.388458966274960E+17,2.388458966274960E+14,2.388458966274960E+11,2.388458966274960E+08,2.388458966274960E+07,2.388458966274960E+10,2.388458966274960E+04,2.388458966274960E+01,2.388458966274960E-02,9.478133944988910E+14,9.478133944988910E+11,9.478133944988910E+08,9.478133944988910E+05,2.777777777777780E+11,2.777777777777780E+08,2.777777777777780E+05,2.777777777777780E+02
cal,4.186800000000000E+00,4.186800000000000E-03,4.186800000000000E-06,4.186800000000000E-09,4.186800000000000E-12,4.186800000000000E-15,4.186800000000000E-18,1.000000000000000E+00,1.000000000000000E-03,1.000000000000000E-06,1.000000000000000E-09,9.993304485994380E-11,9.993304485994380E-08,9.993304485994380E-14,9.993304485994380E-17,9.993304485994380E-20,3.965651116291130E-03,3.965651116291130E-06,3.965651116291130E-09,3.965651116291130E-12,1.162222154813340E-06,1.162222154813340E-09,1.162222154813340E-12,1.162222154813340E-15
kcal,4.186800000000000E+03,4.186800000000000E+00,4.186800000000000E-03,4.186800000000000E-06,4.186800000000000E-09,4.186800000000000E-12,4.186800000000000E-15,1.000000000000000E+03,1.000000000000000E+00,1.000000000000000E-03,1.000000000000000E-06,9.993304485994380E-08,9.993304485994380E-05,9.993304485994380E-11,9.993304485994380E-14,9.993304485994380E-17,3.965651116291130E+00,3.965651116291130E-03,3.965651116291130E-06,3.965651116291130E-09,1.162222154813340E-03,1.162222154813340E-06,1.162222154813340E-09,1.162222154813340E-12
Mcal,4.186800000000000E+06,4.186800000000000E+03,4.186800000000000E+00,4.186800000000000E-03,4.186800000000000E-06,4.186800000000000E-09,4.186800000000000E-12,1.000000000000000E+06,1.000000000000000E+03,1.000000000000000E+00,1.000000000000000E-03,9.993304485994380E-05,9.993304485994380E-02,9.993304485994380E-08,9.993304485994380E-11,9.993304485994380E-14,3.965651116291130E+03,3.965651116291130E+00,3.965651116291130E-03,3.965651116291130E-06,1.162222154813340E+00,1.162222154813340E-03,1.162222154813340E-06,1.162222154813340E-09
Gcal,4.186800000000000E+09,4.186800000000000E+06,4.186800000000000E+03,4.186800000000000E+00,4.186800000000000E-03,4.186800000000000E-06,4.186800000000000E-09,1.000000000000000E+09,1.000000000000000E+06,1.000000000000000E+03,1.000000000000000E+00,9.993304485994380E-02,9.993304485994380E+01,9.993304485994380E-05,9.993304485994380E-08,9.993304485994380E-11,3.965651116291130E+06,3.965651116291130E+03,3.965651116291130E+00,3.965651116291130E-03,1.162222154813340E+03,1.162222154813340E+00,1.162222154813340E-03,1.162222154813340E-06
toe,4.186800000000000E+10,4.186800000000000E+07,4.186800000000000E+04,4.186800000000000E+01,4.186800000000000E-02,4.186800000000000E-05,4.186800000000000E-08,1.000670000000000E+10,1.000670000000000E+07,1.000670000000000E+04,1.000670000000000E+01,1.000000000000000E+00,1.000000000000000E+03,1.000000000000000E-03,1.000000000000000E-06,1.000000000000000E-09,3.968310000000000E+07,3.968310000000000E+04,3.968310000000000E+01,3.968310000000000E-02,1.163000000000000E+04,1.163000000000000E+01,1.163000000000000E-02,1.163000000000000E-05
kgoe,4.186800000000000E+07,4.186800000000000E+04,4.186800000000000E+01,4.186800000000000E-02,4.186800000000000E-05,4.186800000000000E-08,4.186800000000000E-11,1.000670000000000E+07,1.000670000000000E+04,1.000670000000000E+01,1.000670000000000E-02,1.000000000000000E-03,1.000000000000000E+00,1.000000000000000E-06,1.000000000000000E-09,1.000000000000000E-12,3.968310000000000E+04,3.968310000000000E+01,3.968310000000000E-02,3.968310000000000E-05,1.163000000000000E+01,1.163000000000000E-02,1.163000000000000E-05,1.163000000000000E-08
ktoe,4.186800000000000E+13,4.186800000000000E+10,4.186800000000000E+07,4.186800000000000E+04,4.186800000000000E+01,4.186800000000000E-02,4.186800000000000E-05,1.000670000000000E+13,1.000670000000000E+10,1.000670000000000E+07,1.000670000000000E+04,1.000000000000000E+03,1.000000000000000E+06,1.000000000000000E+00,1.000000000000000E-03,1.000000000000000E-06,3.968310000000000E+10,3.968310000000000E+07,3.968310000000000E+04,3.968310000000000E+01,1.163000000000000E+07,1.163000000000000E+04,1.163000000000000E+01,1.163000000000000E-02
